match_id,Team,id,name,short_name,skill,role,red_card,yellow_card,green_card,jersey,played,captain,on_court,starter,top_raider,top_defender,Player_points_total,raider_points_total,raider_points_touch,raider_points_raid_bonus,tackle_points_total,tackle_points_capture,tackle_points_capture_bonus,raids_total,raids_successful,raids_unsuccessful,raids_Empty,raids_total,raids_successful,raids_unsuccessful,raids_Empty,tackles_total,tackles_successful,tackles_unsuccessful
2,DEL,47,Haresh Jalmi,Haresh Jalmi,,,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DEL,80,Punit Kumar Teotia,Punit Kumar Teotia,,,FALSE,FALSE,FALSE,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,1,0,1,2,2,0,2,0,2,0,2,0,2,0,2,2,0
2,DEL,9,Takamitsu Kono,Takamitsu Kono,,,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DEL,28,Amit Singh Chhillar,Amit Singh Chhillar,,,FALSE,FALSE,FALSE,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DEL,38,Dadaso Balaso Awad,Dadaso Balaso Awad,,,FALSE,FALSE,FALSE,9,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
2,DEL,4,Ehsan Zamani Fard,Ehsan Zamani Fard,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,3,0,2,1,3,0,2,1,0,0,0
2,DEL,11,Dong Ju Hong,Dong Ju Hong,,,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DEL,118,Surjeet Narwal,Surjeet Narwal,,,FALSE,FALSE,FALSE,10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10,5,5,0,5,5,0,13,5,5,3,13,5,5,3,10,5,5
2,DEL,33,Bhabesh Kumar,Bhabesh Kumar,,,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DEL,107,Shrikant Tewthia,Shrikant Tewthia,,,FALSE,FALSE,FALSE,12,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,2,1,1,2,2,0,5,2,2,1,5,2,2,1,3,2,1
2,DEL,51,Jasmer Singh Gulia,Jasmer Singh Gulia,,,FALSE,FALSE,FALSE,7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0,0,0,2,1,1,0,2,1,1,0,0,0,0
2,DEL,58,Kashiling Adake,Kashiling Adake,,,FALSE,FALSE,FALSE,11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10,6,2,4,4,4,0,15,6,5,4,15,6,5,4,6,4,2
3,BEN,150,Parmod Narwal,Parmod Narwal,,,FALSE,FALSE,FALSE,25,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BEN,42,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
3,BEN,45,Gurpreet Singh,Gurpreet Singh,,,FALSE,FALSE,FALSE,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BEN,59,Kiran Parmar,Kiran Parmar,,,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BEN,103,Sarun Das,Sarun Das,,,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BEN,3,I Ketut Ariana,I Ketut Ariana,,,FALSE,FALSE,FALSE,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BEN,69,Manjeet Chhillar,Manjeet Chhillar,,,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,7,4,3,1,3,3,0,13,4,3,6,13,4,3,6,6,3,3
3,BEN,26,Ajay Thakur,Ajay Thakur,,,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,19,15,12,3,4,4,0,20,10,4,5,20,10,4,5,16,4,12
3,BEN,85,Rajesh Mondal,Rajesh Mondal,,,FALSE,FALSE,FALSE,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,0,0,2,2,1,5,0,2,3,5,0,2,3,1,1,0
3,BEN,113,Sunil Hanumanthappa,Sunil Hanumanthappa,,,FALSE,FALSE,FALSE,11,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,1,0,1,2,2,0,2,0,2,0,2,0,2,0,2,2,0
3,BEN,122,Vilam Singh,Vilam Singh,,,FALSE,FALSE,FALSE,77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BEN,21,Sinotharan Kanesharajah,Sinotharan Kanesharajah,,,FALSE,FALSE,FALSE,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BEN,24,Michael Adam Dubery,Michael Adam Dubery,,,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,16,Waleed Al Hasani,Waleed Al Hasani,,,FALSE,FALSE,FALSE,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,56,Kalimuthu Balamahendran,Kalimuthu Balamahendran,,,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,3,0,1,1,0,3,2,1,0,3,2,1,0,4,1,3
3,PUN,148,Sunil Subhash Lande,Sunil Subhash Lande,,,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,151,Vikas Tomar,Vikas Tomar,,,FALSE,FALSE,FALSE,12,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,7,Mostafa Noudehi,Mostafa Noudehi,,,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,10,Simon Kibura,Simon Kibura,,,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,79,Pravin Niwale,Pravin Niwale,,,FALSE,FALSE,FALSE,10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,0,0,2,2,0,4,0,2,2,4,0,2,2,2,2,0
3,PUN,30,Arbinda Khuntia,Arbinda Khuntia,,,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,124,Wazir Singh,Wazir Singh,,,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,17,11,7,4,6,6,0,15,7,6,2,15,7,6,2,13,6,7
3,PUN,67,Mahipal Narwal,Mahipal Narwal,,,FALSE,FALSE,FALSE,12,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,8,6,3,3,2,2,0,13,4,2,7,13,4,2,7,5,2,3
3,PUN,70,Manoj Kumar,Manoj Kumar,,,FALSE,FALSE,FALSE,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,76,Nitin More,Nitin More,,,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PUN,55,Jitesh Joshi,Jitesh Joshi,,,FALSE,FALSE,FALSE,5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,0,0,0,3,3,1,5,0,2,3,5,0,2,3,2,2,0
4,KOL,12,Jang Kun Lee,Jang Kun Lee,,,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,KOL,48,Hitesh Patel,Hitesh Patel,,,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,KOL,98,Sachin Khambe,Sachin Khambe,,,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
